Gene.primaryIdentifier	Gene.name	Gene.symbol	Gene.description	Gene.chr	Gene.mitoEvidenceMitoCarta	Gene.mitoEvidenceIMPI	Gene.mitoEvidenceGO	Gene.mitoEvidenceHumanProteinAtlas	Gene.MTSipsort	Gene.MTSmitofates	Gene.MTSmitoprot	Gene.MTStargetP
ENSG00000177150	125228	FAM210A	family with sequence similarity 210, member A	18	true	true	true	true	1.0	0.527	0.9228	0.804
ENSG00000124098	116151	FAM210B	family with sequence similarity 210, member B	20	true	true	false	false	1.0	0.316	0.7893	0.853
ENSG00000122378	84293	FAM213A	family with sequence similarity 213, member A	10	true	true	true	false	0.0	0.0	0.0316	0.013
ENSG00000039523	79567	FAM65A	family with sequence similarity 65, member A	16	false	true	false	false	1.0	0.908	0.9956	0.952
ENSG00000187773	125704	FAM69C	family with sequence similarity 69, member C	18	false	true	false	false	1.0	0.578	0.9391	0.583
ENSG00000196550	729533	FAM72A	family with sequence similarity 72, member A	1	false	true	true	false	1.0	0.235	0.873	0.257
ENSG00000138399	79675	FASTKD1	FAST kinase domains 1	2	true	true	true	false	1.0	0.87	0.8246	0.362
ENSG00000118246	22868	FASTKD2	FAST kinase domains 2	2	true	true	true	true	0.0	0.318	0.7173	0.43
ENSG00000124279	79072	FASTKD3	FAST kinase domains 3	5	true	true	true	false	1.0	0.261	0.6908	0.842
ENSG00000215251	60493	FASTKD5	FAST kinase domains 5	20	true	true	true	false	1.0	0.438	0.9505	0.881
ENSG00000112234	26235	FBXL4	F-box and leucine-rich repeat protein 4	6	true	true	true	false	0.0	0.598	0.9427	0.535
ENSG00000137714	2230	FDX1	ferredoxin 1	11	true	true	true	true	1.0	0.996	0.9895	0.893
ENSG00000267673	112812	FDX1L	ferredoxin 1-like	19	true	true	true	false	1.0	0.437	0.9495	0.871
ENSG00000161513	2232	FDXR	ferredoxin reductase	17	true	true	true	false	1.0	0.74	0.183	0.882
ENSG00000066926	2235	FECH	ferrochelatase	18	true	true	true	false	0.0	0.996	0.6669	0.882
ENSG00000091483	2271	FH	fumarate hydratase	1	true	true	true	true	1.0	1.0	0.9977	0.955
ENSG00000189283	2272	FHIT	fragile histidine triad	3	true	true	true	false	0.0	0.052	0.4193	0.523
ENSG00000172500	9158	FIBP	fibroblast growth factor (acidic) intracellular binding protein	11	false	true	true	false	0.0	0.0	0.0358	0.047
ENSG00000214253	51024	FIS1	fission, mitochondrial 1	7	true	true	true	true	0.0	0.0	0.0592	0.068
ENSG00000141756	60681	FKBP10	FK506 binding protein 10, 65 kDa	17	true	true	false	false	0.0	0.0	0.5138	0.061
ENSG00000105701	23770	FKBP8	FK506 binding protein 8, 38kDa	19	true	true	true	true	0.0	0.0	7.0E-4	0.059
ENSG00000160688	80308	FLAD1	flavin adenine dinucleotide synthetase 1	1	true	true	true	false	1.0	0.249	0.7284	0.883
ENSG00000196924	2316	FLNA	filamin A, alpha	X	false	true	false	false	0.0	0.0	0.0354	0.393
ENSG00000137312	""	FLOT1	flotillin 1	6	false	true	false	false	0.0	0.006	0.214	0.273
ENSG00000115414	2335	FN1	fibronectin 1	2	false	true	false	false	0.0	0.011	0.242	0.167
ENSG00000110074	55572	FOXRED1	FAD-dependent oxidoreductase domain containing 1	11	true	true	true	true	1.0	0.975	0.9546	0.56
ENSG00000136877	2356	FPGS	folylpolyglutamate synthase	9	true	true	true	false	1.0	0.996	0.9928	0.902
ENSG00000172159	257019	FRMD3	FERM domain containing 3	9	false	true	false	false	1.0	0.968	0.8194	0.89
ENSG00000181867	94033	FTMT	ferritin mitochondrial	5	true	true	true	false	1.0	0.751	0.9913	0.939
ENSG00000122687	29960	FTSJ2	FtsJ RNA methyltransferase homolog 2 (E. coli)	7	true	true	true	false	0.0	0.541	0.6233	0.604
ENSG00000069509	139341	FUNDC1	FUN14 domain containing 1	X	true	true	true	false	0.0	0.0	0.0127	0.094
ENSG00000165775	65991	FUNDC2	FUN14 domain containing 2	X	true	true	true	false	0.0	0.017	0.7258	0.724
ENSG00000165060	2395	FXN	frataxin	9	true	true	true	false	1.0	0.996	0.8649	0.826
ENSG00000123689	50486	G0S2	G0/G1 switch 2	1	false	true	true	false	0.0	0.0	0.0799	0.022
ENSG00000171298	2548	GAA	glucosidase, alpha; acid	17	false	true	false	false	0.0	0.028	0.0969	0.071
ENSG00000179271	90480	GADD45GIP1	growth arrest and DNA-damage-inducible, gamma interacting protein 1	19	true	true	true	true	1.0	0.484	0.9016	0.792
ENSG00000175229	89792	GAL3ST3	galactose-3-O-sulfotransferase 3	11	false	true	false	false	1.0	0.885	0.9621	0.403
ENSG00000111640	2597	GAPDH	glyceraldehyde-3-phosphate dehydrogenase	12	true	true	false	false	1.0	0.024	0.9334	0.774
ENSG00000106105	2617	GARS	glycyl-tRNA synthetase	7	true	true	true	false	0.0	0.187	0.9884	0.891
ENSG00000059691	5188	GATB	glutamyl-tRNA(Gln) amidotransferase, subunit B	4	true	true	true	true	0.0	0.873	0.8156	0.882
ENSG00000257218	283459	GATC	glutamyl-tRNA(Gln) amidotransferase, subunit C	12	false	true	true	false	1.0	0.545	0.1556	0.861
ENSG00000171766	2628	GATM	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	15	true	true	true	true	1.0	0.998	0.9971	0.945
ENSG00000146729	2631	GBAS	glioblastoma amplified sequence	7	true	true	true	true	1.0	0.999	0.9984	0.963
ENSG00000100116	23464	GCAT	glycine C-acetyltransferase	22	true	true	true	true	1.0	0.888	0.7162	0.825
ENSG00000105607	2639	GCDH	glutaryl-CoA dehydrogenase	19	true	true	true	true	1.0	0.998	0.9333	0.943
ENSG00000140905	2653	GCSH	glycine cleavage system protein H (aminomethyl carrier)	16	true	true	true	false	1.0	0.996	0.9932	0.847
ENSG00000104381	54332	GDAP1	ganglioside induced differentiation associated protein 1	8	true	true	true	true	0.0	0.0	0.0184	0.087
ENSG00000204183	""	GDF5OS	growth differentiation factor 5 opposite strand	20	false	true	true	false	1.0	0.515	0.9999	0.849
ENSG00000127554	2671	GFER	growth factor, augmenter of liver regeneration	16	true	true	true	true	0.0	0.0	0.0234	0.371
ENSG00000168827	85476	GFM1	G elongation factor, mitochondrial 1	3	true	true	true	true	0.0	0.838	0.7122	0.885
ENSG00000164347	84340	GFM2	G elongation factor, mitochondrial 2	5	true	true	true	false	1.0	0.038	0.6863	0.294
ENSG00000165678	27069	GHITM	growth hormone inducible transmembrane protein	10	true	true	true	true	1.0	0.948	0.9946	0.911
ENSG00000196329	55340	GIMAP5	GTPase, IMAP family member 5	7	false	true	true	false	0.0	0.0	0.0023	0.149
ENSG00000170266	2720	GLB1	galactosidase, beta 1	3	false	true	false	false	0.0	0.014	0.6043	0.112
ENSG00000178445	2731	GLDC	glycine dehydrogenase (decarboxylating)	9	true	true	true	true	1.0	0.996	0.9495	0.77
ENSG00000167699	51031	GLOD4	glyoxalase domain containing 4	17	true	true	true	false	1.0	0.938	0.9593	0.908
ENSG00000023572	51022	GLRX2	glutaredoxin 2	1	true	true	true	false	1.0	0.976	0.9737	0.914
ENSG00000182512	51218	GLRX5	glutaredoxin 5	14	true	true	true	true	0.0	0.962	0.8587	0.623
ENSG00000115419	2744	GLS	glutaminase	2	true	true	true	true	1.0	0.998	0.9897	0.946
ENSG00000135423	27165	GLS2	glutaminase 2 (liver, mitochondrial)	12	true	true	true	false	0.0	0.996	0.9409	0.85
ENSG00000148672	2746	GLUD1	glutamate dehydrogenase 1	10	true	true	true	true	0.0	0.965	0.5482	0.385
ENSG00000182890	2747	GLUD2	glutamate dehydrogenase 2	X	false	true	true	true	1.0	0.983	0.9491	0.918
ENSG00000135821	2752	GLUL	glutamate-ammonia ligase	1	false	true	true	true	0.0	0.004	0.4031	0.2
ENSG00000149124	10249	GLYAT	glycine-N-acyltransferase	11	true	true	true	false	0.0	0.146	0.7723	0.444
ENSG00000168237	132158	GLYCTK	glycerate kinase	3	true	true	true	false	1.0	0.996	0.9847	0.921
ENSG00000196743	2760	GM2A	GM2 ganglioside activator	5	false	true	true	false	0.0	0.0	0.0667	0.039
ENSG00000197045	2764	GMFB	glia maturation factor, beta	14	false	true	false	false	0.0	0.0	0.5245	0.114
ENSG00000146535	2768	GNA12	guanine nucleotide binding protein (G protein) alpha 12	7	false	true	false	false	1.0	0.709	0.8571	0.586
ENSG00000127955	2770	GNAI1	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1	7	false	true	false	false	0.0	0.0	0.0155	0.121
ENSG00000172354	2783	GNB2	guanine nucleotide binding protein (G protein), beta polypeptide 2	7	false	true	false	false	0.0	0.0	0.04	0.112
ENSG00000174021	2787	GNG5	guanine nucleotide binding protein (G protein), gamma 5	1	true	true	false	false	0.0	0.293	0.6838	0.548
ENSG00000113384	64083	GOLPH3	golgi phosphoprotein 3 (coat-protein)	5	true	true	true	false	1.0	0.009	0.5489	0.679
ENSG00000125166	2806	GOT2	glutamic-oxaloacetic transaminase 2, mitochondrial	16	true	true	true	false	0.0	0.996	0.6033	0.697
ENSG00000119927	57678	GPAM	glycerol-3-phosphate acyltransferase, mitochondrial	10	true	true	true	false	0.0	0.0	0.0246	0.073
ENSG00000186281	150763	GPAT2	glycerol-3-phosphate acyltransferase 2, mitochondrial	2	false	true	true	false	0.0	0.024	0.1379	0.524
ENSG00000115159	2820	GPD2	glycerol-3-phosphate dehydrogenase 2 (mitochondrial)	2	true	true	true	false	0.0	0.903	0.6882	0.458
ENSG00000170412	55890	GPRC5C	G protein-coupled receptor, class C, group 5, member C	17	false	true	true	false	0.0	0.003	0.181	0.034
ENSG00000166123	84706	GPT2	glutamic pyruvate transaminase (alanine aminotransferase) 2	16	true	true	true	true	1.0	0.94	0.9264	0.871
ENSG00000233276	2876	GPX1	glutathione peroxidase 1	3	true	true	true	false	0.0	0.012	0.4122	0.57
ENSG00000167468	2879	GPX4	glutathione peroxidase 4	19	true	true	true	true	0.0	0.353	0.8718	0.292
ENSG00000075240	23151	GRAMD4	GRAM domain containing 4	22	false	true	true	false	0.0	0.0	0.4244	0.408
ENSG00000137106	9380	GRHPR	glyoxylate reductase/hydroxypyruvate reductase	9	true	true	false	false	1.0	0.032	0.9237	0.722
ENSG00000030582	2896	GRN	granulin	17	false	true	true	false	0.0	0.006	0.0673	0.04
ENSG00000109519	80273	GRPEL1	GrpE-like 1, mitochondrial (E. coli)	4	true	true	true	true	1.0	0.995	0.9953	0.925
ENSG00000164284	134266	GRPEL2	GrpE-like 2, mitochondrial (E. coli)	5	true	true	true	true	1.0	0.907	0.9391	0.89
ENSG00000132463	2926	GRSF1	G-rich RNA sequence binding factor 1	4	true	true	true	true	1.0	0.012	0.9894	0.534
ENSG00000104687	2936	GSR	glutathione reductase	8	true	true	true	false	1.0	0.963	0.9717	0.908
ENSG00000197448	373156	GSTK1	glutathione S-transferase kappa 1	7	true	true	true	false	0.0	0.013	0.4625	0.09
ENSG00000168765	2948	GSTM4	glutathione S-transferase mu 4	1	false	true	false	false	0.0	0.009	0.1569	0.122
ENSG00000084207	2950	GSTP1	glutathione S-transferase pi 1	11	false	true	true	true	1.0	0.015	0.5566	0.58
ENSG00000100577	2954	GSTZ1	glutathione S-transferase zeta 1	14	true	true	true	false	1.0	0.378	0.851	0.712
ENSG00000105793	85865	GTPBP10	GTP-binding protein 10 (putative)	7	true	true	true	false	0.0	0.724	0.8458	0.391
ENSG00000130299	84705	GTPBP3	GTP binding protein 3 (mitochondrial)	19	true	true	true	true	1.0	0.971	0.985	0.937
ENSG00000178605	8225	GTPBP6	GTP binding protein 6 (putative)	X	true	true	false	true	1.0	0.992	0.9972	0.96
ENSG00000163607	29083	GTPBP8	GTP-binding protein 8 (putative)	3	false	true	true	true	0.0	0.246	0.2493	0.815
ENSG00000151806	60558	GUF1	GUF1 homolog, GTPase	4	true	true	true	true	1.0	0.721	0.9386	0.847
ENSG00000143774	2987	GUK1	guanylate kinase 1	1	true	true	false	false	0.0	0.05	0.1623	0.755
ENSG00000138796	3033	HADH	hydroxyacyl-CoA dehydrogenase	4	true	true	true	true	1.0	0.996	0.9956	0.824
ENSG00000084754	3030	HADHA	hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit	2	true	true	true	true	0.0	0.996	0.9975	0.958
ENSG00000138029	3032	HADHB	hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), beta subunit	2	true	true	true	true	1.0	0.91	0.9881	0.817
ENSG00000063854	3029	HAGH	hydroxyacylglutathione hydrolase	16	true	true	true	false	1.0	0.979	0.9372	0.947
ENSG00000116882	51179	HAO2	hydroxyacid oxidase 2 (long chain)	1	true	true	true	false	0.0	0.0	0.099	0.107
ENSG00000112855	23438	HARS2	histidyl-tRNA synthetase 2, mitochondrial	5	true	true	true	false	1.0	0.965	0.9722	0.825
ENSG00000143575	10456	HAX1	HCLS1 associated protein X-1	1	false	true	true	false	0.0	0.006	0.1227	0.559
ENSG00000004961	3052	HCCS	holocytochrome c synthase	X	true	true	true	true	0.0	0.0	0.02	0.208
ENSG00000119431	81932	HDHD3	haloacid dehalogenase-like hydrolase domain containing 3	9	true	true	true	false	0.0	0.5	0.5639	0.345
ENSG00000013583	50865	HEBP1	heme binding protein 1	12	true	true	false	false	0.0	0.01	0.2064	0.09
ENSG00000114735	51409	HEMK1	HemK methyltransferase family member 1	3	true	true	true	false	0.0	0.304	0.4597	0.808
ENSG00000106049	11112	HIBADH	3-hydroxyisobutyrate dehydrogenase	7	true	true	true	false	1.0	0.996	0.9954	0.969
ENSG00000198130	26275	HIBCH	3-hydroxyisobutyryl-CoA hydrolase	2	true	true	true	true	1.0	0.911	0.9454	0.909
ENSG00000181061	25994	HIGD1A	HIG1 hypoxia inducible domain family, member 1A	3	true	true	true	true	0.0	0.0	0.0103	0.07
ENSG00000146066	192286	HIGD2A	HIG1 hypoxia inducible domain family, member 2A	5	true	true	true	true	0.0	0.0	0.0031	0.109
ENSG00000175202	""	HIGD2B	HIG1 hypoxia inducible domain family, member 2B	15	false	true	false	true	0.0	0.0	0.0061	0.141
ENSG00000169567	3094	HINT1	histidine triad nucleotide binding protein 1	5	true	true	false	false	0.0	0.004	0.6548	0.073
ENSG00000137133	84681	HINT2	histidine triad nucleotide binding protein 2	9	true	true	true	true	0.0	0.964	0.9733	0.914
ENSG00000156515	3098	HK1	hexokinase 1	10	true	true	true	true	0.0	0.003	0.0254	0.096
ENSG00000159399	3099	HK2	hexokinase 2	2	true	true	true	false	0.0	0.013	0.052	0.093
ENSG00000159267	3141	HLCS	holocarboxylase synthetase (biotin-(proprionyl-CoA-carboxylase (ATP-hydrolysing)) ligase)	21	false	true	true	false	0.0	0.0	0.0559	0.097
ENSG00000117305	3155	HMGCL	3-hydroxymethyl-3-methylglutaryl-CoA lyase	1	true	true	true	false	1.0	0.999	0.9901	0.888
ENSG00000134240	3158	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2 (mitochondrial)	1	true	true	true	true	1.0	0.954	0.9725	0.876
ENSG00000241935	112817	HOGA1	4-hydroxy-2-oxoglutarate aldolase 1	10	true	true	true	false	0.0	0.886	0.952	0.801
ENSG00000186603	84842	HPDL	4-hydroxyphenylpyruvate dioxygenase-like	1	false	true	false	true	1.0	0.65	0.9744	0.675
ENSG00000110169	3263	HPX	hemopexin	11	false	true	false	false	0.0	0.003	0.415	0.026
ENSG00000132541	10247	HRSP12	heat-responsive protein 12	8	true	true	true	false	1.0	0.012	0.8774	0.61
ENSG00000100209	150274	HSCB	HscB mitochondrial iron-sulfur cluster co-chaperone	22	true	true	true	true	1.0	0.898	0.5727	0.832
ENSG00000072506	3028	HSD17B10	hydroxysteroid (17-beta) dehydrogenase 10	X	true	true	true	false	0.0	0.613	0.5563	0.343
ENSG00000204228	""	HSD17B8	hydroxysteroid (17-beta) dehydrogenase 8	6	false	true	true	false	1.0	0.935	0.8727	0.893
ENSG00000103160	83693	HSDL1	hydroxysteroid dehydrogenase like 1	16	true	true	true	false	0.0	0.011	0.2711	0.05
ENSG00000119471	84263	HSDL2	hydroxysteroid dehydrogenase like 2	9	true	true	true	true	0.0	0.293	0.9574	0.403
ENSG00000096384	3326	HSP90AB1	heat shock protein 90kDa alpha (cytosolic), class B member 1	6	false	true	true	false	0.0	0.0	0.0096	0.047
ENSG00000166598	7184	HSP90B1	heat shock protein 90kDa beta (Grp94), member 1	12	false	true	false	false	0.0	0.0	0.073	0.027
ENSG00000044574	3309	HSPA5	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)	9	false	true	true	false	0.0	0.0	0.046	0.029
ENSG00000109971	3312	HSPA8	heat shock 70kDa protein 8	11	false	true	false	false	0.0	0.0	0.02	0.095
ENSG00000113013	3313	HSPA9	heat shock 70kDa protein 9 (mortalin)	5	true	true	true	true	1.0	0.996	0.8982	0.92
ENSG00000004776	126393	HSPB6	heat shock protein, alpha-crystallin-related, B6	19	false	true	false	false	0.0	0.006	0.57	0.562
ENSG00000144381	3329	HSPD1	heat shock 60kDa protein 1 (chaperonin)	2	true	true	true	true	1.0	0.996	0.9949	0.921
ENSG00000115541	3336	HSPE1	heat shock 10kDa protein 1	2	true	true	true	false	0.0	0.057	0.8235	0.367
ENSG00000115317	27429	HTRA2	HtrA serine peptidase 2	2	true	true	true	false	1.0	0.397	0.9472	0.868
ENSG00000134330	285148	IAH1	isoamyl acetate-hydrolyzing esterase 1 homolog	2	false	true	false	false	0.0	0.005	0.0342	0.051
ENSG00000067704	55699	IARS2	isoleucyl-tRNA synthetase 2, mitochondrial	1	true	true	true	true	1.0	0.922	0.9503	0.923
ENSG00000181873	200205	IBA57	IBA57 homolog, iron-sulfur cluster assembly	1	true	true	true	false	1.0	0.98	0.8019	0.795
ENSG00000160223	""	ICOSLG	inducible T-cell co-stimulator ligand	21	false	true	false	true	0.0	0.0	0.0178	0.084
ENSG00000167862	3396	ICT1	immature colon carcinoma transcript 1	17	true	true	true	true	1.0	0.92	0.9671	0.9
ENSG00000119912	3416	IDE	insulin-degrading enzyme	10	true	true	true	false	1.0	0.401	0.9752	0.696
ENSG00000138413	3417	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble	2	true	true	true	false	0.0	0.0	0.1171	0.086
ENSG00000182054	3418	IDH2	isocitrate dehydrogenase 2 (NADP+), mitochondrial	15	true	true	true	true	1.0	0.993	0.9564	0.925
ENSG00000166411	3419	IDH3A	isocitrate dehydrogenase 3 (NAD+) alpha	15	true	true	true	true	0.0	0.961	0.851	0.634
ENSG00000101365	3420	IDH3B	isocitrate dehydrogenase 3 (NAD+) beta	20	true	true	true	true	1.0	0.997	0.9879	0.933
ENSG00000067829	3421	IDH3G	isocitrate dehydrogenase 3 (NAD+) gamma	X	true	true	true	true	0.0	0.801	0.7044	0.183
ENSG00000067064	3422	IDI1	isopentenyl-diphosphate delta isomerase 1	10	true	true	false	false	0.0	0.0	0.0572	0.056
ENSG00000165949	3429	IFI27	interferon, alpha-inducible protein 27	14	true	true	true	false	0.0	0.021	0.8787	0.482
ENSG00000126709	2537	IFI6	interferon, alpha-inducible protein 6	1	false	true	true	true	0.0	0.0	0.3941	0.016
ENSG00000104951	259307	IL4I1	interleukin 4 induced 1	19	false	true	false	false	0.0	0.0	0.0139	0.019
ENSG00000148950	196294	IMMP1L	inner mitochondrial membrane peptidase subunit 1	11	true	true	true	false	0.0	0.244	0.5431	0.211
ENSG00000184903	83943	IMMP2L	inner mitochondrial membrane peptidase subunit 2	7	true	true	true	true	0.0	0.039	0.6469	0.1
ENSG00000132305	10989	IMMT	inner membrane protein, mitochondrial	2	true	true	true	true	1.0	0.679	0.9827	0.835
ENSG00000214686	440956	IQCF6	IQ motif containing F6	3	false	true	false	false	1.0	0.76	0.9903	0.852
ENSG00000135070	81689	ISCA1	iron-sulfur cluster assembly 1	9	true	true	true	false	1.0	0.988	0.9807	0.915
ENSG00000165898	122961	ISCA2	iron-sulfur cluster assembly 2	14	true	true	true	false	1.0	0.44	0.9407	0.892
ENSG00000136003	23479	ISCU	iron-sulfur cluster assembly enzyme	12	true	true	true	false	1.0	0.997	0.9976	0.967
ENSG00000063241	79763	ISOC2	isochorismatase domain containing 2	19	true	true	false	true	0.0	0.074	0.6916	0.761
ENSG00000128928	3712	IVD	isovaleryl-CoA dehydrogenase	15	true	true	true	true	1.0	0.977	0.9448	0.943
ENSG00000065427	3735	KARS	lysyl-tRNA synthetase	16	true	true	true	false	0.0	0.0	0.0223	0.105
ENSG00000081791	9812	KIAA0141	KIAA0141	5	true	true	true	false	1.0	0.753	0.2514	0.906
ENSG00000100890	9692	KIAA0391	KIAA0391	14	true	true	true	true	1.0	0.595	0.8182	0.459
ENSG00000196872	343990	KIAA1211L	KIAA1211-like	2	false	true	false	false	0.0	0.0	0.2294	0.09
ENSG00000054523	23095	KIF1B	kinesin family member 1B	1	true	true	true	false	1.0	0.022	0.3558	0.608
ENSG00000168280	3800	KIF5C	kinesin family member 5C	2	false	true	false	false	0.0	0.0	0.0561	0.099
ENSG00000167755	5653	KLK6	kallikrein-related peptidase 6	19	false	true	true	false	0.0	0.003	0.1576	0.03
ENSG00000117009	8564	KMO	kynurenine 3-monooxygenase (kynurenine 3-hydroxylase)	1	true	true	true	false	0.0	0.021	0.0881	0.447
ENSG00000133703	3845	KRAS	Kirsten rat sarcoma viral oncogene homolog	12	false	true	true	false	0.0	0.0	0.062	0.082
ENSG00000187242	""	KRT12	keratin 12, type I	17	false	true	false	false	1.0	0.085	0.9175	0.838
ENSG00000186847	3861	KRT14	keratin 14, type I	17	false	true	false	false	1.0	0.097	0.782	0.406
ENSG00000186832	3868	KRT16	keratin 16, type I	17	false	true	false	false	1.0	0.097	0.8472	0.464
ENSG00000128422	3872	KRT17	keratin 17, type I	17	false	true	false	false	1.0	0.214	0.8227	0.671
ENSG00000111057	3875	KRT18	keratin 18, type I	12	false	true	false	false	1.0	0.033	0.9328	0.905
ENSG00000170477	""	KRT4	keratin 4, type II	12	false	true	false	false	1.0	0.867	0.8749	0.691
ENSG00000186081	3852	KRT5	keratin 5, type II	12	true	true	true	false	1.0	0.18	0.9879	0.924
ENSG00000185479	3854	KRT6B	keratin 6B, type II	12	false	true	false	false	1.0	0.618	0.9834	0.912
ENSG00000139648	112802	KRT71	keratin 71, type II	12	false	true	false	false	1.0	0.035	0.9221	0.713
ENSG00000170454	9119	KRT75	keratin 75, type II	12	false	true	false	false	1.0	0.108	0.9959	0.836
ENSG00000105700	79036	KXD1	KxDL motif containing 1	19	false	true	false	false	0.0	0.0	0.2765	0.097
ENSG00000087299	79944	L2HGDH	L-2-hydroxyglutarate dehydrogenase	14	true	true	true	true	1.0	0.111	0.7971	0.908
ENSG00000135537	246269	LACE1	lactation elevated 1	6	true	true	true	false	1.0	0.689	0.9394	0.703
ENSG00000103642	114294	LACTB	lactamase, beta	15	true	true	true	true	1.0	0.372	0.9674	0.885
ENSG00000147592	51110	LACTB2	lactamase, beta 2	8	true	true	true	false	1.0	0.401	0.9611	0.742
ENSG00000135862	3915	LAMC1	laminin, gamma 1 (formerly LAMB2)	1	true	true	false	false	1.0	0.012	0.1522	0.416
ENSG00000185896	3916	LAMP1	lysosomal-associated membrane protein 1	13	false	true	false	false	0.0	0.0	0.3577	0.043
ENSG00000005893	3920	LAMP2	lysosomal-associated membrane protein 2	X	false	true	false	false	0.0	0.012	0.0306	0.03
ENSG00000109270	8649	LAMTOR3	late endosomal/lysosomal adaptor, MAPK and MTOR activator 3	4	false	true	false	false	0.0	0.008	0.2714	0.1
ENSG00000002549	51056	LAP3	leucine aminopeptidase 3	4	true	true	true	false	1.0	0.997	0.9979	0.946
ENSG00000011376	23395	LARS2	leucyl-tRNA synthetase 2, mitochondrial	3	true	true	true	true	0.0	0.996	0.7828	0.718
ENSG00000166816	197257	LDHD	lactate dehydrogenase D	16	true	true	true	false	1.0	0.241	0.8328	0.443
ENSG00000168924	3954	LETM1	leucine zipper-EF-hand containing transmembrane protein 1	4	true	true	true	true	1.0	0.974	0.1506	0.882
ENSG00000165046	137994	LETM2	leucine zipper-EF-hand containing transmembrane protein 2	8	true	true	true	false	0.0	0.072	0.5696	0.849
ENSG00000050426	25875	LETMD1	LETM1 domain containing 1	12	true	true	true	false	1.0	0.82	0.9999	0.898
ENSG00000108679	3959	LGALS3BP	lectin, galactoside-binding, soluble, 3 binding protein	17	false	true	false	false	0.0	0.0	0.2829	0.029
ENSG00000100600	5641	LGMN	legumain	14	false	true	false	false	0.0	0.0	0.0221	0.032
ENSG00000121897	11019	LIAS	lipoic acid synthetase	4	true	true	true	true	1.0	0.902	0.9581	0.721
ENSG00000005156	3980	LIG3	ligase III, DNA, ATP-dependent	17	false	true	true	false	1.0	0.371	0.8809	0.763
ENSG00000144182	51601	LIPT1	lipoyltransferase 1	2	true	true	true	false	1.0	0.045	0.8774	0.256
ENSG00000175536	387787	LIPT2	lipoyl(octanoyl) transferase 2 (putative)	11	true	true	true	false	1.0	0.49	0.8301	0.866
ENSG00000113441	4012	LNPEP	leucyl/cystinyl aminopeptidase	5	false	true	false	false	0.0	0.006	0.0054	0.093
ENSG00000196365	9361	LONP1	lon peptidase 1, mitochondrial	19	true	true	true	true	1.0	0.983	0.9679	0.945
ENSG00000138095	10128	LRPPRC	leucine-rich pentatricopeptide repeat containing	2	true	true	true	true	1.0	0.999	0.9943	0.943
ENSG00000198812	376132	LRRC10	leucine rich repeat containing 10	12	false	true	true	false	0.0	0.003	0.1926	0.278
ENSG00000254402	441381	LRRC24	leucine rich repeat containing 24	8	false	true	false	false	0.0	0.006	0.1513	0.063
ENSG00000188906	120892	LRRK2	leucine-rich repeat kinase 2	12	false	true	true	false	0.0	0.0	0.0652	0.074
ENSG00000120992	10434	LYPLA1	lysophospholipase I	8	true	true	true	false	0.0	0.0	0.2488	0.189
ENSG00000143353	127018	LYPLAL1	lysophospholipase-like 1	1	true	true	false	false	0.0	0.284	0.732	0.655
ENSG00000102897	57149	LYRM1	LYR motif containing 1	16	true	true	true	false	1.0	0.847	0.9333	0.607
ENSG00000083099	57226	LYRM2	LYR motif containing 2	6	true	true	true	false	1.0	0.91	0.9857	0.92
ENSG00000214113	57128	LYRM4	LYR motif containing 4	6	true	true	true	false	1.0	0.843	0.921	0.902
ENSG00000186687	90624	LYRM7	LYR motif containing 7	5	true	true	true	false	1.0	0.5	0.8715	0.849
ENSG00000183833	89876	MAATS1	MYCBP-associated, testis expressed 1	3	false	true	true	false	0.0	0.01	0.0274	0.191
ENSG00000133315	28992	MACROD1	MACRO domain containing 1	11	true	true	true	false	1.0	0.96	0.998	0.938
ENSG00000185247	4110	MAGEA11	melanoma antigen family A11	X	false	true	false	true	0.0	0.0	0.0303	0.11
ENSG00000156928	115416	MALSU1	mitochondrial assembly of ribosomal large subunit 1	7	true	true	true	true	1.0	0.969	0.98	0.874
ENSG00000013288	23324	MAN2B2	mannosidase, alpha, class 2B, member 2	4	false	true	false	false	0.0	0.013	0.5123	0.074
ENSG00000189221	4128	MAOA	monoamine oxidase A	X	true	true	true	true	0.0	0.003	0.0262	0.052
ENSG00000069535	4129	MAOB	monoamine oxidase B	X	true	true	true	true	0.0	0.012	0.0283	0.059
ENSG00000186205	64757	MARC1	mitochondrial amidoxime reducing component 1	1	true	true	true	true	0.0	0.17	0.9827	0.369
ENSG00000117791	54996	MARC2	mitochondrial amidoxime reducing component 2	1	true	true	true	false	1.0	0.597	0.989	0.69
ENSG00000198060	54708	MARCH5	membrane-associated ring finger (C3HC4) 5	10	true	true	true	true	0.0	0.021	0.3463	0.064
ENSG00000277443	4082	MARCKS	myristoylated alanine-rich protein kinase C substrate	6	false	true	false	false	0.0	0.0	0.1712	0.245
